@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,7-13,15-16,18-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute other_payment_plans {bank,stores,none}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
>=200,'critical/other existing credit','new car',1480,500<=X<1000,bank,'unemp/unskilled non res',good
<0,'existing paid','new car',1371,'no known savings',none,skilled,bad
'no checking','critical/other existing credit','new car',3535,<100,none,skilled,good
<0,'existing paid',radio/tv,3509,<100,none,skilled,good
'no checking','critical/other existing credit','used car',5711,>=1000,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',repairs,3872,<100,none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,4933,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',1940,>=1000,none,skilled,good
0<=X<200,'no credits/all paid',retraining,1410,<100,none,'unskilled resident',good
0<=X<200,'existing paid','new car',836,100<=X<500,bank,'unskilled resident',bad
0<=X<200,'existing paid','used car',6468,'no known savings',none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',business,1941,>=1000,none,'unskilled resident',good
'no checking','existing paid',radio/tv,2675,500<=X<1000,none,skilled,good
'no checking','critical/other existing credit','used car',2751,'no known savings',none,skilled,good
0<=X<200,'delayed previously',education,6224,<100,none,skilled,bad
<0,'critical/other existing credit',education,5998,<100,bank,skilled,bad
0<=X<200,'existing paid',business,1188,<100,none,skilled,bad
'no checking','existing paid','used car',6313,'no known savings',none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,1221,'no known savings',none,skilled,good
>=200,'existing paid',furniture/equipment,2892,<100,none,skilled,good
'no checking','existing paid',furniture/equipment,3062,500<=X<1000,none,skilled,good
'no checking','existing paid',furniture/equipment,2301,100<=X<500,none,skilled,good
<0,'existing paid','used car',7511,'no known savings',none,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,1258,<100,none,'unskilled resident',good
'no checking','delayed previously','new car',717,'no known savings',none,skilled,good
0<=X<200,'existing paid','new car',1549,'no known savings',none,'unemp/unskilled non res',good
'no checking','critical/other existing credit',education,1597,<100,none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,1795,<100,bank,'unskilled resident',good
<0,'critical/other existing credit',furniture/equipment,4272,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,976,'no known savings',none,skilled,good
0<=X<200,'existing paid','new car',7472,'no known savings',none,'unemp/unskilled non res',good
<0,'existing paid','new car',9271,<100,none,skilled,bad
0<=X<200,'existing paid',radio/tv,590,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,930,'no known savings',none,skilled,good
0<=X<200,'all paid','used car',9283,<100,bank,'high qualif/self emp/mgmt',good
0<=X<200,'no credits/all paid','new car',1778,<100,none,'unemp/unskilled non res',bad
0<=X<200,'existing paid',business,907,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,484,<100,bank,'unskilled resident',good
<0,'critical/other existing credit','used car',9629,<100,none,skilled,bad
<0,'existing paid','domestic appliance',3051,<100,none,skilled,bad
<0,'existing paid','new car',3931,<100,none,skilled,bad
0<=X<200,'delayed previously','new car',7432,<100,none,skilled,good
'no checking','existing paid','domestic appliance',1338,500<=X<1000,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1554,<100,none,skilled,good
<0,'existing paid',other,15857,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,1345,<100,bank,skilled,bad
'no checking','existing paid','new car',1101,<100,none,skilled,good
>=200,'existing paid',radio/tv,3016,<100,none,skilled,good
<0,'existing paid',furniture/equipment,2712,<100,bank,skilled,bad
<0,'critical/other existing credit','new car',731,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',furniture/equipment,3780,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car',1602,<100,none,skilled,good
<0,'critical/other existing credit','new car',3966,<100,bank,skilled,bad
'no checking','no credits/all paid',business,4165,<100,stores,skilled,bad
<0,'existing paid','used car',8335,'no known savings',none,skilled,bad
0<=X<200,'delayed previously',business,6681,'no known savings',none,skilled,good
'no checking','delayed previously',business,2375,500<=X<1000,none,skilled,good
<0,'existing paid','new car',1216,<100,none,skilled,bad
<0,'no credits/all paid',business,11816,<100,none,skilled,bad
0<=X<200,'existing paid',radio/tv,5084,'no known savings',none,skilled,good
>=200,'existing paid',radio/tv,2327,<100,none,'unskilled resident',bad
<0,'no credits/all paid','new car',1082,<100,bank,skilled,bad
'no checking','existing paid',radio/tv,886,'no known savings',none,skilled,good
'no checking','existing paid',furniture/equipment,601,<100,none,'unskilled resident',good
<0,'critical/other existing credit','used car',2957,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,2611,<100,none,skilled,good
<0,'existing paid',furniture/equipment,5179,<100,none,skilled,bad
'no checking','delayed previously','used car',2993,<100,stores,'unskilled resident',good
'no checking','existing paid',repairs,1943,<100,none,skilled,bad
'no checking','all paid',business,1559,<100,bank,skilled,good
'no checking','existing paid',furniture/equipment,3422,<100,bank,skilled,good
0<=X<200,'existing paid',furniture/equipment,3976,'no known savings',none,skilled,good
'no checking','existing paid','new car',6761,'no known savings',none,skilled,bad
'no checking','existing paid','new car',1249,<100,none,skilled,good
<0,'existing paid',radio/tv,1364,<100,none,skilled,good
<0,'existing paid',radio/tv,709,<100,stores,'unskilled resident',bad
<0,'critical/other existing credit','new car',2235,<100,bank,skilled,bad
'no checking','critical/other existing credit','used car',4042,'no known savings',none,skilled,good
'no checking','critical/other existing credit',radio/tv,1471,<100,none,skilled,good
<0,'all paid','new car',1442,<100,none,'unskilled resident',bad
'no checking','delayed previously','new car',10875,<100,none,skilled,good
'no checking','existing paid','new car',1474,100<=X<500,none,skilled,good
'no checking','existing paid',retraining,894,'no known savings',none,skilled,good
'no checking','critical/other existing credit',furniture/equipment,3343,<100,none,skilled,good
<0,'existing paid','new car',3959,<100,none,skilled,bad
'no checking','existing paid','new car',3577,100<=X<500,none,skilled,good
'no checking','critical/other existing credit','used car',5804,>=1000,none,skilled,good
'no checking','delayed previously',business,2169,<100,none,skilled,bad
<0,'existing paid',radio/tv,2439,<100,none,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,4526,>=1000,stores,'unskilled resident',good
'no checking','existing paid',furniture/equipment,2210,<100,bank,'unskilled resident',bad
'no checking','existing paid',furniture/equipment,2221,500<=X<1000,none,skilled,good
<0,'existing paid',radio/tv,2389,<100,stores,skilled,good
'no checking','critical/other existing credit',furniture/equipment,3331,<100,stores,skilled,good
'no checking','existing paid',business,7409,'no known savings',none,skilled,good
<0,'existing paid',furniture/equipment,652,<100,none,skilled,good
'no checking','delayed previously',furniture/equipment,7678,500<=X<1000,none,skilled,good
>=200,'critical/other existing credit','new car',1343,<100,none,skilled,good
<0,'critical/other existing credit',business,1382,100<=X<500,none,skilled,good
'no checking','existing paid','domestic appliance',874,'no known savings',none,skilled,good
<0,'existing paid',furniture/equipment,3590,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit','new car',1322,>=1000,none,skilled,good
<0,'all paid',radio/tv,1940,<100,bank,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,3595,<100,none,skilled,good
<0,'existing paid','new car',1422,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,6742,'no known savings',none,skilled,good
'no checking','existing paid','used car',7814,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid','used car',9277,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit','new car',2181,'no known savings',none,skilled,good
'no checking','critical/other existing credit',radio/tv,1098,<100,none,'unemp/unskilled non res',good
0<=X<200,'existing paid',furniture/equipment,4057,<100,none,skilled,bad
<0,'existing paid',education,795,<100,none,skilled,bad
0<=X<200,'critical/other existing credit',business,2825,'no known savings',none,skilled,good
0<=X<200,'existing paid',business,15672,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',6614,<100,none,'high qualif/self emp/mgmt',good
'no checking','all paid','used car',7824,'no known savings',bank,skilled,good
<0,'critical/other existing credit',business,2442,<100,stores,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',radio/tv,1829,<100,none,skilled,good
<0,'critical/other existing credit','new car',2171,<100,bank,'unskilled resident',good
0<=X<200,'critical/other existing credit','used car',5800,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1169,'no known savings',none,skilled,good
'no checking','delayed previously','used car',8947,'no known savings',stores,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,2606,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,1592,>=1000,none,skilled,good
'no checking','existing paid',furniture/equipment,2186,'no known savings',bank,'unskilled resident',good
<0,'existing paid',furniture/equipment,4153,<100,none,skilled,bad
<0,'critical/other existing credit','new car',2625,<100,bank,skilled,bad
'no checking','critical/other existing credit','new car',3485,'no known savings',none,skilled,good
'no checking','critical/other existing credit','used car',10477,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,1386,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,1278,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,1107,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid','new car',3763,'no known savings',none,'unskilled resident',good
0<=X<200,'existing paid',education,3711,'no known savings',none,skilled,good
'no checking','delayed previously','used car',3594,<100,none,'unskilled resident',good
0<=X<200,'existing paid','new car',3195,'no known savings',none,'unskilled resident',good
'no checking','delayed previously',radio/tv,4454,<100,none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,4736,<100,bank,'unskilled resident',bad
0<=X<200,'existing paid',radio/tv,2991,'no known savings',none,skilled,good
'no checking','existing paid',business,2142,>=1000,none,skilled,good
<0,'all paid',business,3161,<100,none,skilled,bad
0<=X<200,'no credits/all paid',other,18424,<100,bank,'high qualif/self emp/mgmt',bad
'no checking','existing paid','used car',2848,100<=X<500,none,skilled,good
<0,'existing paid','new car',14896,<100,bank,'high qualif/self emp/mgmt',bad
<0,'existing paid',furniture/equipment,2359,100<=X<500,none,skilled,bad
<0,'existing paid',furniture/equipment,3345,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',furniture/equipment,1817,<100,none,skilled,good
'no checking','delayed previously',radio/tv,12749,500<=X<1000,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,1366,<100,none,skilled,bad
0<=X<200,'existing paid','new car',2002,<100,none,skilled,good
<0,'all paid',furniture/equipment,6872,<100,bank,skilled,bad
<0,'all paid','new car',697,<100,bank,skilled,bad
<0,'critical/other existing credit',furniture/equipment,1049,<100,none,skilled,good
<0,'existing paid','used car',10297,<100,stores,skilled,bad
'no checking','existing paid',radio/tv,1867,'no known savings',none,skilled,good
<0,'delayed previously','new car',1344,<100,none,'unskilled resident',good
<0,'existing paid',furniture/equipment,1747,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,1670,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',1224,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,522,500<=X<1000,none,skilled,good
<0,'existing paid',radio/tv,1498,<100,bank,skilled,good
0<=X<200,'delayed previously',radio/tv,1919,100<=X<500,stores,'high qualif/self emp/mgmt',bad
>=200,'existing paid',radio/tv,745,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',radio/tv,2063,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',education,6288,<100,none,skilled,bad
'no checking','critical/other existing credit','used car',6842,'no known savings',none,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',3527,'no known savings',none,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',1546,<100,none,'unskilled resident',good
'no checking','existing paid',furniture/equipment,929,'no known savings',stores,skilled,good
'no checking','critical/other existing credit','new car',1455,<100,none,'unskilled resident',good
<0,'existing paid',furniture/equipment,1845,<100,none,skilled,good
0<=X<200,'no credits/all paid','new car',8358,500<=X<1000,none,skilled,good
<0,'all paid',furniture/equipment,3349,500<=X<1000,none,skilled,bad
'no checking','existing paid','new car',2859,'no known savings',none,'high qualif/self emp/mgmt',good
'no checking','existing paid',furniture/equipment,1533,<100,none,'unskilled resident',bad
'no checking','existing paid',radio/tv,3621,100<=X<500,none,skilled,bad
0<=X<200,'critical/other existing credit',business,3590,<100,none,'unemp/unskilled non res',good
<0,'delayed previously',business,2145,<100,none,skilled,bad
0<=X<200,'existing paid','used car',4113,500<=X<1000,none,skilled,bad
'no checking','existing paid',furniture/equipment,10974,<100,none,'high qualif/self emp/mgmt',bad
<0,'existing paid','new car',1893,<100,none,skilled,good
<0,'critical/other existing credit',radio/tv,1231,>=1000,none,'high qualif/self emp/mgmt',good
>=200,'critical/other existing credit',radio/tv,3656,'no known savings',stores,'unskilled resident',good
0<=X<200,'critical/other existing credit',radio/tv,1154,<100,none,'unskilled resident',good
<0,'existing paid','new car',4006,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',furniture/equipment,3069,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1740,<100,none,skilled,good
0<=X<200,'delayed previously','new car',2353,<100,none,skilled,good
'no checking','existing paid','new car',3556,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,2397,500<=X<1000,bank,skilled,bad
0<=X<200,'existing paid',repairs,454,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,1715,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,2520,500<=X<1000,none,'unskilled resident',bad
'no checking','existing paid',radio/tv,3568,<100,bank,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,7166,'no known savings',none,skilled,good
<0,'critical/other existing credit','new car',3939,<100,none,'unskilled resident',good
0<=X<200,'existing paid',repairs,1514,100<=X<500,none,skilled,good
'no checking','existing paid','new car',7393,<100,none,'unskilled resident',good
<0,'all paid','new car',1193,<100,none,'unemp/unskilled non res',bad
<0,'existing paid',business,7297,<100,none,skilled,bad
'no checking','critical/other existing credit',radio/tv,2831,<100,none,skilled,good
>=200,'existing paid',radio/tv,1258,500<=X<1000,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,753,<100,none,skilled,good
0<=X<200,'delayed previously',business,2427,'no known savings',none,skilled,good
'no checking','delayed previously','new car',2538,<100,none,'unskilled resident',bad
0<=X<200,'all paid','new car',1264,100<=X<500,none,skilled,bad
0<=X<200,'critical/other existing credit',furniture/equipment,8386,<100,none,skilled,bad
'no checking','existing paid',business,4844,<100,bank,'high qualif/self emp/mgmt',bad
>=200,'existing paid','new car',2923,100<=X<500,bank,'high qualif/self emp/mgmt',good
<0,'existing paid','used car',8229,<100,none,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,2028,<100,none,'unskilled resident',good
<0,'critical/other existing credit',furniture/equipment,1433,<100,none,skilled,good
>=200,'no credits/all paid',business,6289,<100,none,skilled,good
'no checking','existing paid',radio/tv,1409,100<=X<500,none,skilled,good
<0,'existing paid','used car',6579,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',radio/tv,1743,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',education,3565,'no known savings',none,'unskilled resident',good
'no checking','all paid',radio/tv,1569,100<=X<500,bank,'unskilled resident',good
<0,'existing paid',radio/tv,1936,'no known savings',none,'unskilled resident',good
<0,'existing paid',furniture/equipment,3959,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',2390,'no known savings',none,skilled,good
'no checking','existing paid',furniture/equipment,1736,<100,none,'unskilled resident',good
<0,'existing paid','used car',3857,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,804,<100,none,skilled,good
<0,'existing paid',radio/tv,1845,<100,none,skilled,bad
0<=X<200,'critical/other existing credit','used car',4576,100<=X<500,none,skilled,good
